"﻿""id. Response ID""",Year Submitted Survey 2, Months Owned (total),oldcarmain,Electric driving range,oldcartype,Discontinuance (inc. purchased lease) 2,Age,Gender,dist1  [Route 1],How many road trips longer than 200 miles round-trip did you or your household complete with each car in the last 12 months (or the time you own the car if less than that)?  [{oldcarmain.NAOK}],{oldcarmain.NAOK} [Safety],Comfort,Refuelling/Recharging costs,Performance,Environmental impacts,"Vehicle Purchase Price (including rebates, discounts, etc.)",Reliability,Electric driving range,Convenience of charging,Driving assistance features,My household's pre-taxed income for the past tax year was in the following range,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Concatenate[[s]...s] Public DCFC] 2,MPG second vehicle in HH 2,"Lease (1 lease, 0 other)",lastpage. Last page
842,2019,45,2015 Tesla Model S,271,BEV,Continued,80,Male,37.92,0,5,5,5,5,5,4,5,5,5,4,"$100,000 to $149,999",Level 2,No charging,DC Fast,24,1,40
843,2019,30,2017 Toyota Prius Prime,25,PHEV,Original,35,Female,41.47,2,5,5,5,5,5,5,5,3,3,5,"$100,000 to $149,999",Level 1,No charging,Level 2,28,0,40
844,2019,77,2013 Chevrolet Volt,53,PHEV,Original,65,Male,25.59,0,5,5,5,5,5,5,5,5,5,4,"$50,000 to $99,999",Level 2,,,24,0,40
845,2019,36,2013 Chevrolet Volt,53,PHEV,Continued,65,Male,18.19,0,5,4,5,5,5,4,5,5,5,5,"$200,000 to $249,999",Level 2,,Level 2,98,1,40
846,2019,32,2016 BMW i3,81,PHEV,Continued,65,Male,42.13,0,5,5,5,5,5,5,5,2,2,5,"$300,000 to $349,999",Level 2,No charging,No charging,33,1,40
847,2019,27,2017 Chevrolet Volt,53,PHEV,Original,65,Female,6.59,6,3,2,5,5,5,3,3,4,4,2,"Less than $50,000",Level 1,Level 2,No charging,,1,40
848,2019,24,2015 Tesla Model S,271,BEV,Continued,75,Male,3.52,0,5,2,5,5,5,5,5,5,5,5,"$200,000 to $249,999",Level 1,,,,0,40
849,2019,33,2017 Toyota Prius Prime,25,PHEV,Original,55,Female,96.75,260,5,4,5,5,5,5,5,4,5,5,"$150,000 to $199,999",No Charging,,,24,0,40
850,2019,21,2017 Chevrolet Bolt EV,238,BEV,Original,45,Male,3.87,6,5,2,5,5,5,5,5,4,2,5,"$200,000 to $249,999",No Charging,Level 1,Level 1,,1,40
851,2019,24,2017 Toyota Prius Prime,25,PHEV,Original,65,Female,2.88,0,5,5,5,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 1,No charging,Level 2,38,0,40
852,2019,30,2016 Volkswagen e-Golf,84,BEV,Original,35,Male,10.27,0,5,5,5,4,5,5,5,3,4,3,"$100,000 to $149,999",Level 1,Level 2,No charging,26,1,40
853,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,23.32,2,4,1,5,5,3,4,5,5,5,5,"$200,000 to $249,999",Level 1,No charging,No charging,24,0,40
854,2019,48,2015 Tesla Model S,271,BEV,Original,35,Male,,1,5,4,5,5,5,2,3,4,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,28,0,40
855,2019,,2014 Fiat 500e,87,BEV,Original,,,,0,,,,,,,,,,,,No Charging,,Level 2,23,1,1
856,2019,38,2016 Nissan Leaf,84,BEV,Original,45,Female,21.43,0,5,5,5,5,5,5,5,5,5,5,"$250,000 to $299,999",Level 1,No charging,No charging,24,1,40
857,2019,32,2017 Chevrolet Bolt EV,238,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,24,0,8
858,2019,38,2016 Chevrolet Volt,53,PHEV,Discontinued,35,Male,,0,5,5,5,5,5,5,4,4,3,3,"Less than $50,000",No Charging,Level 2,No charging,,1,40
859,2019,39,2016 Tesla Model X,270,BEV,Original,65,Male,,6,5,5,5,5,5,4,4,5,5,5,"$200,000 to $249,999",Level 2,No charging,DC Fast,30,0,40
860,2019,75,2013 Nissan Leaf,84,BEV,Continued,55,Male,,0,,,,,,,,,,,,Level 2,,Level 2,24,1,12
861,2019,54,2013 Ford Fusion Energi,20,PHEV,Continued,65,Male,10.25,0,5,5,5,4,5,5,4,5,5,5,"$250,000 to $299,999",No Charging,,,18,0,40
863,2019,70,2014 Chevrolet Spark EV,82,BEV,Continued,65,Female,18.48,1,5,5,5,5,5,5,5,5,5,5,"$50,000 to $99,999",Level 2,,Level 2,30,1,40
864,2019,56,2015 Tesla Model S,271,BEV,Original,75,Male,6.61,1,5,5,5,5,5,4,5,5,5,5,"$400,000 to $449,999",Level 2,No charging,No charging,23,0,40
865,2019,34,2017 Chevrolet Bolt EV,238,BEV,Original,,,,0,,,,,,,,,,,,Level 2,Level 2,No charging,24,0,3
866,2019,38,2016 Ford C-Max Energi,20,PHEV,Original,75,Male,,0,,,,,,,,,,,,Level 1,No charging,Level 2,40,0,17
867,2019,33,2017 Nissan Leaf,84,BEV,Original,75,Male,20.48,0,5,5,5,5,5,5,5,3,4,5,"Less than $50,000",Level 1,No charging,No charging,32,1,40
868,2019,55,2016 Tesla Model X,270,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,27,0,6
869,2019,41,2016 Tesla Model X,270,BEV,Original,45,Male,3.45,5,5,4,5,5,5,4,4,5,5,5,"$150,000 to $199,999",Level 2,Level 1,Level 2,24,0,40
870,2019,27,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,10.33,0,5,4,5,5,5,5,5,4,4,5,"Less than $50,000",Level 1,Level 2,Level 2,17,0,40
871,2019,65,2014 Mitsubishi i-MiEV,62,BEV,Original,45,Female,18.88,0,5,5,5,5,5,2,5,1,5,3,"$50,000 to $99,999",Level 1,,,24,0,40
872,2019,32,2017 Nissan Leaf,84,BEV,Original,45,Male,30.81,0,5,4,5,5,5,3,4,4,5,2,"$400,000 to $449,999",No Charging,Level 2,DC Fast,29,1,40
873,2019,,2018 Honda Clarity Fuel Cell,300,,Original,45,Male,39.31,1,,,,,,,,,,,,No Charging,,,,0,19
874,2019,69,2014 Toyota Prius Plug-in,11,PHEV,Original,35,Male,76.68,30,3,4,4,2,4,2,2,3,2,3,I prefer not to answer,No Charging,Level 1,Level 2,,0,40
875,2019,20,2018 Nissan Leaf,84,BEV,Original,35,Male,26.86,0,5,5,5,5,5,2,5,2,5,4,"$100,000 to $149,999",Level 2,No charging,DC Fast,35,1,40
876,2019,61,2013 Nissan Leaf,84,BEV,Discontinued,55,Male,,0,,,,,,,,,,,,Level 2,,Level 2,50,0,17
877,2019,17,2017 Chevrolet Volt,53,PHEV,Continued,45,Male,22.52,0,5,1,3,3,3,5,4,3,1,3,"$200,000 to $249,999",No Charging,Level 2,No charging,17,1,40
878,2019,41,2012 Nissan Leaf,84,BEV,Continued,65,Male,1.78,0,5,5,5,4,5,4,5,1,2,4,I prefer not to answer,No Charging,,,34,1,40
879,2019,19,2018 Tesla Model 3 Long Range,310,BEV,Original,55,Male,49.18,1,5,4,3,5,5,1,4,4,3,4,I prefer not to answer,Level 2,No charging,DC Fast,50,0,40
880,2019,33,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,,0,,,,,,,,,,,,Level 2,Level 2,No charging,24,0,16
881,2019,36,2014 Nissan Leaf,84,BEV,Continued,55,Male,,0,4,4,4,4,5,5,5,1,4,3,I prefer not to answer,Level 1,No charging,No charging,24,1,40
882,2019,,2014 Ford C-Max Energi,20,PHEV,Original,,,,0,,,,,,,,,,,,Level 2,Level 1,Level 1 & Level 2,38,1,1
883,2019,57,2014 Ford C-Max Energi,20,PHEV,Continued,,,,0,,,,,,,,,,,,Level 2,Level 1,Level 1 & Level 2,38,1,10
884,2019,58,2013 Tesla Model S,271,BEV,Continued,65,Male,27,0,5,5,5,5,5,4,5,5,5,5,"$350,000 to $399,999",Level 2,,,24,0,40
885,2019,63,2014 BMW i3,81,PHEV,Original,75,Male,0.69,0,5,5,5,5,3,5,5,4,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,23,0,40
886,2019,62,2014 Toyota RAV4 EV,103,BEV,Original,65,Male,10.29,0,5,5,5,5,5,4,5,2,4,4,"$150,000 to $199,999",Level 2,,Level 2,15,0,40
887,2019,33,2016 Chevrolet Volt,53,PHEV,Continued,55,Male,3.79,0,4,5,4,4,4,4,5,3,4,3,"$150,000 to $199,999",Level 2,Level 2,No charging,119,1,40
888,2019,53,2015 Tesla Model S,271,BEV,Original,35,Male,51.12,1,5,5,5,5,5,5,5,5,5,5,"$250,000 to $299,999",Level 2,Level 2,DC Fast,46,0,40
889,2019,36,2015 Ford C-Max Energi,20,PHEV,Discontinued,65,Male,2.64,0,5,2,5,5,5,5,5,5,5,5,I prefer not to answer,Level 1,No charging,No charging,24,1,40
890,2019,72,2013 Fiat 500e,87,BEV,Original,75,Male,0.32,0,5,5,5,5,5,4,5,5,5,3,I prefer not to answer,Level 1,,,16,0,40
891,2019,31,2017 Chevrolet Bolt EV,238,BEV,Continued,45,Male,35.7,0,5,5,5,5,5,1,4,5,5,1,"$200,000 to $249,999",No Charging,Level 2,No charging,24,1,40
893,2019,49,2016 Volkswagen e-Golf,84,BEV,Continued,65,Male,14.48,18,5,5,5,5,5,3,5,3,5,5,"Less than $50,000",Level 1,Level 2,No charging,,1,40
894,2019,70,2014 Chevrolet Spark EV,82,BEV,Continued,55,Male,12.02,0,5,4,5,5,5,3,3,4,4,3,"$250,000 to $299,999",Level 1,,Level 2,23,1,40
895,2019,44,2013 Tesla Model S,271,BEV,Continued,75,Male,,0,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,,,16,0,40
896,2019,11,2018 Tesla Model 3 Long Range,310,BEV,Continued,65,Male,13.75,0,4,4,4,5,5,4,4,5,4,4,I prefer not to answer,Level 2,No charging,Level 2,119,0,40
897,2019,25,2017 Chevrolet Volt,53,PHEV,Original,65,Male,,0,5,5,5,5,5,5,5,4,5,5,"$100,000 to $149,999",Level 2,No charging,Level 2,29,0,40
898,2019,85,2012 Toyota Prius Plug-in,11,PHEV,Original,,,,0,,,,,,,,,,,,Level 1,Level 2,No charging,25,0,3
899,2019,24,2017 Tesla Model S AWD - 75D,249,BEV,Original,45,Male,13.88,3,5,5,5,5,5,2,5,4,4,5,"$250,000 to $299,999",Level 2,Level 2,No charging,24,0,40
901,2019,36,2016 Nissan Leaf,84,BEV,Continued,45,Female,3.5,0,4,3,5,4,5,5,5,2,4,3,"$300,000 to $349,999",Level 2,Level 1,Level 1,17,1,40
902,2019,,2018 Honda Clarity Fuel Cell,300,,Original,55,Male,45.34,0,5,5,5,5,5,5,5,2,1,5,"$500,000 or more",No Charging,,,,0,40
903,2019,31,2014 Ford C-Max Energi,20,PHEV,Continued,55,Female,41.85,0,3,2,3,1,4,1,5,1,4,2,"$350,000 to $399,999",Level 1,,,24,0,40
904,2019,62,2013 Ford C-Max Energi,20,PHEV,Continued,75,Male,20.66,0,4,4,4,3,5,4,5,2,3,4,I prefer not to answer,Level 2,,,24,1,40
905,2019,30,2016 Nissan Leaf,84,BEV,Continued,55,Male,12.91,0,4,3,5,5,5,5,5,4,5,3,"$500,000 or more",Level 2,Level 2,No charging,26,1,40
906,2019,27,2017 chevroet bolt,238,BEV,Original,80,Male,,0,5,4,5,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,24,1,40
907,2019,36,2014 Fiat 500e,87,BEV,Continued,35,Male,5.03,0,3,3,5,5,4,4,2,2,2,3,"$100,000 to $149,999",Level 2,,Level 1 & Level 2,,1,40
908,2019,37,2017 Chevrolet Volt,53,PHEV,Continued,55,Male,28.29,10,4,4,2,5,4,4,5,3,3,4,"$100,000 to $149,999",Level 2,Level 2,No charging,29,1,40
909,2019,,2018 Toyota Mirai,300,,Original,55,Male,7.79,0,5,4,5,4,5,5,5,4,3,4,"$350,000 to $399,999",No Charging,,,,0,40
910,2019,48,2016 Chevrolet Volt,53,PHEV,Original,75,Male,6.66,0,5,5,5,5,5,4,1,5,5,4,I prefer not to answer,Level 2,No charging,Level 1 & Level 2,24,0,40
911,2019,34,2017 Chevrolet Bolt EV,238,BEV,Original,65,Female,16.62,1,5,4,2,5,4,2,5,4,2,3,"$100,000 to $149,999",Level 1,No charging,DC Fast,14,1,40
912,2019,19,2018 Tesla Model 3 Long Range,310,BEV,Original,55,Male,76.08,4,5,5,5,5,5,5,5,5,5,5,"$50,000 to $99,999",Level 1,Level 2,Level 2,24,0,40
913,2019,51,2013 Chevrolet Volt,53,PHEV,Continued,45,Male,0.81,0,,,,,,,,,,,,No Charging,,Level 2,98,1,19
914,2019,29,2015 Nissan Leaf,84,BEV,Continued,35,Male,,0,,,,,,,,,,,,Level 1,,,,1,16
915,2019,31,2017 Chevrolet Volt,53,PHEV,Continued,65,Male,4.74,0,,,,,,,,,,,,Level 2,No charging,No charging,117,1,23
916,2019,70,2012 Ford Focus Electric,76,BEV,Continued,45,Male,23.74,0,2,3,3,1,4,3,1,1,1,1,I prefer not to answer,Level 1,,,16,0,40
917,2019,22,2018 Kia Niro Plug-in Hybrid,26,PHEV,Original,45,Male,42.72,6,5,4,5,4,4,5,5,4,5,5,"$150,000 to $199,999",Level 1,No charging,Level 2,30,0,40
918,2019,62,2013 Tesla Model S,271,BEV,Continued,65,Male,149.5,0,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,,,25,0,40
919,2019,,2016 Ford Fusion Energi,20,PHEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,40,1,1
920,2019,31,2016 Volkswagen e-Golf,84,BEV,Discontinued,45,Male,12.71,0,5,4,5,4,4,5,5,2,2,4,"$250,000 to $299,999",No Charging,Level 2,No charging,24,1,40
921,2019,78,2013 Ford Fusion Energi,20,PHEV,Original,55,Male,3.48,3,4,4,4,4,4,1,4,1,4,4,I prefer not to answer,Level 2,,,105,0,40
922,2019,31,2014 Mercedes-Benz B-Class Electric Drive,87,BEV,Continued,75,Male,16.77,0,5,5,5,4,5,5,5,1,3,4,"$200,000 to $249,999",Level 2,,,23,1,40
923,2019,45,2016 Chevrolet Volt,53,PHEV,Original,75,Female,,0,5,5,5,5,5,4,5,5,5,4,"$500,000 or more",Level 1,No charging,No charging,46,0,40
924,2019,,2014 Toyota Prius Plug-in,11,PHEV,Continued,45,Male,45.63,0,5,5,4,2,3,3,5,2,3,4,"$300,000 to $349,999",No Charging,,,,0,40
925,2019,39,2014 Cadillac ELR,37,PHEV,Continued,55,Female,2.34,0,5,5,5,5,5,5,5,4,5,5,"$500,000 or more",Level 2,,Level 2,117,1,40
926,2019,76,2013 Nissan Leaf,84,BEV,Original,45,Male,79.38,0,3,2,5,3,5,5,5,1,3,3,"$200,000 to $249,999",Level 1,,,24,0,40
927,2019,68,2013 Chevrolet Volt,53,PHEV,Continued,75,Male,5.46,0,5,4,5,4,5,4,5,4,5,4,"$100,000 to $149,999",Level 2,,,23,0,40
928,2019,22,2018 Audi A3 e-tron,16,PHEV,Original,55,Male,,0,5,4,4,3,5,4,3,2,4,4,"$500,000 or more",Level 2,No charging,No charging,,1,40
929,2019,71,2014 Toyota Prius Plug-in,11,PHEV,Original,35,Female,27.22,10,,,,,,,,,,,,No Charging,,,50,0,20
930,2019,,2012 Chevrolet Volt,53,PHEV,Original,35,Female,32.72,0,,,,,,,,,,,,No Charging,,,,0,18
931,2019,25,2017 Toyota Prius Prime,25,PHEV,Original,55,Male,31.43,1,5,4,5,3,5,4,5,5,4,4,"$200,000 to $249,999",Level 1,No charging,No charging,24,0,40
932,2019,35,2016 Ford Fusion Energi,20,PHEV,Discontinued,35,Male,16.78,0,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
933,2019,33,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,2.23,0,4,2,5,5,5,3,3,4,4,3,"$200,000 to $249,999",Level 2,No charging,Level 2,27,0,40
934,2019,79,2013 Toyota Prius Plug-in,11,PHEV,Original,55,Female,8.5,2,,,,,,,,,,,,Level 1,,,16,0,28
935,2019,75,2013 Tesla Model S,271,BEV,Original,75,Male,1.72,0,5,5,5,5,5,4,5,5,5,3,"$50,000 to $99,999",Level 2,,,,0,40
936,2019,30,2017 Chevrolet Bolt EV,238,BEV,Original,45,Male,7.8,4,5,5,5,5,5,3,5,5,5,4,"$200,000 to $249,999",Level 1,Level 2,No charging,47,0,40
937,2019,23,2013 Nissan Leaf,84,BEV,Discontinued,55,Female,14.45,0,5,4,5,5,5,4,5,2,2,3,"$200,000 to $249,999",Level 1,,Level 2,24,1,40
938,2019,30,2017 Chevrolet Bolt EV,238,BEV,Original,65,Male,2.16,0,4,4,5,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 1,No charging,No charging,29,1,40
939,2019,32,2017 Toyota Prius Prime,25,PHEV,Original,75,Male,13.87,0,5,5,5,5,5,4,5,4,5,5,"$100,000 to $149,999",Level 1,No charging,No charging,84,0,40
940,2019,54,2015 Tesla Model S,271,BEV,Original,,,,0,,,,,,,,,,,,Level 2,No charging,No charging,92,0,11
941,2019,36,2015 Tesla Model S,271,BEV,Continued,65,Male,,0,4,5,5,5,5,2,4,5,5,5,"$500,000 or more",Level 2,No charging,No charging,42,1,40
942,2019,24,2017 Honda Clarity EV,89,BEV,Original,65,Male,4.23,0,2,5,2,4,4,5,5,2,3,1,"$100,000 to $149,999",Level 1,No charging,No charging,34,1,40
943,2019,39,2016 Audi A3 Sportback e-tron,16,PHEV,Continued,45,Male,5.83,0,5,5,5,5,5,4,5,1,4,2,"$450,000 to $499,999",Level 2,No charging,No charging,24,1,40
944,2019,35,2015 Tesla Model S,271,BEV,Continued,80,Male,3.42,0,5,5,5,5,5,4,5,4,5,5,I prefer not to answer,Level 2,No charging,No charging,24,1,40
945,2019,40,2016 Ford C-MAX Energi Plug-in Hybrid,20,PHEV,Continued,35,Male,35.12,0,5,5,5,2,4,5,4,1,4,3,"$100,000 to $149,999",Level 2,Level 1,No charging,24,1,40
946,2019,19,2018 Nissan Leaf,84,BEV,Original,55,Male,27.08,0,5,4,5,4,5,4,5,5,5,5,I prefer not to answer,Level 2,No charging,No charging,28,1,40
947,2019,19,2017 BMW i3,81,PHEV,Continued,65,Male,14.82,0,5,5,5,5,5,5,5,4,5,5,"$100,000 to $149,999",Level 2,Level 1,No charging,,1,40
948,2019,46,2014 Toyota Prius Plug-in,11,PHEV,Continued,75,Male,7.76,0,5,5,5,4,5,5,5,4,5,5,"$150,000 to $199,999",Level 1,,,50,0,40
949,2019,34,2017 Chevrolet Bolt EV,238,BEV,Original,,Decline to state,14.11,0,5,5,5,5,5,5,5,5,5,5,"Less than $50,000",Level 2,Level 2,No charging,26,0,40
951,2019,,2013 FIAT 500e,87,BEV,Original,65,Female,31.38,0,4,4,5,5,5,5,5,4,4,5,"$150,000 to $199,999",No Charging,,,,0,40
952,2019,24,2017 Honda Clarity EV,89,BEV,Original,45,Male,24.31,0,4,5,5,5,5,5,5,2,4,5,"$500,000 or more",Level 2,No charging,No charging,26,1,40
953,2019,32,2017 Chevrolet Volt,53,PHEV,Continued,55,Male,27.38,0,5,5,5,5,5,5,5,5,5,5,"$50,000 to $99,999",Level 1,Level 1,No charging,24,1,40
954,2019,43,2014 Ford C-Max Energi,20,PHEV,Continued,35,Female,3.34,0,5,4,5,4,5,3,4,3,3,3,"Less than $50,000",No Charging,,,,1,40
955,2019,,2016 Toyota Mirai,300,,Discontinued,55,Male,3.94,0,5,5,5,5,5,4,2,5,2,5,I prefer not to answer,No Charging,,,,0,40
956,2019,35,2015 Mercedes-Benz B-Class Electric Drive,87,BEV,Continued,45,Female,,0,3,3,5,5,5,4,4,4,5,3,"$500,000 or more",Level 2,Level 2,No charging,96,1,40
957,2019,,2015 Chevrolet Volt,53,PHEV,Original,,,,0,,,,,,,,,,,,Level 1,No charging,Level 2,24,1,1
958,2019,46,2015 Chevrolet Volt,53,PHEV,Continued,65,Male,7.11,0,5,5,4,5,4,4,5,2,5,3,"$150,000 to $199,999",Level 2,No charging,No charging,24,0,40
959,2019,109,2012 Nissan Leaf,84,BEV,Continued,80,Female,3.68,0,3,5,4,4,5,4,2,1,5,3,,Level 2,,,18,1,28
960,2019,69,2013 Ford C-Max Energi,20,PHEV,Continued,80,Male,2.2,0,5,5,5,5,5,5,5,4,5,3,"$150,000 to $199,999",Level 1,,,,1,40
961,2019,48,2013 Toyota Prius Plug-in,11,PHEV,Continued,45,Male,24.89,0,5,2,5,3,4,4,5,4,4,5,"$350,000 to $399,999",No Charging,,,28,0,40
962,2019,37,2015 Ford C-Max Energi,20,PHEV,Continued,75,Male,7.74,0,3,2,5,4,5,5,2,4,4,4,"$150,000 to $199,999",Level 2,No charging,No charging,24,1,40
963,2019,24,2017 Chevrolet Bolt EV,238,BEV,Original,35,Male,13.96,4,5,5,5,5,5,5,5,5,5,5,"$200,000 to $249,999",No Charging,Level 2,No charging,26,1,40
964,2019,41,2016 Tesla Model S,271,BEV,Original,65,Male,,0,,,,,,,,,,,,Level 2,No charging,No charging,25,0,16
965,2019,36,2013 Chevrolet Volt,53,PHEV,Continued,55,Male,4.93,0,3,3,5,4,5,3,5,4,3,2,"$250,000 to $299,999",Level 2,Level 1,Level 1 & Level 2,27,1,40
966,2019,41,2016 Tesla Model S,271,BEV,Original,45,Male,69.85,0,5,5,5,5,5,4,5,4,5,5,"$500,000 or more",Level 2,No charging,No charging,93,0,40
967,2019,37,2014 Ford Fusion Energi,20,PHEV,Discontinued,,,,0,,,,,,,,,,,,Level 2,,,15,1,11
968,2019,54,2014 Ford Fusion Energi,20,PHEV,Discontinued,55,Male,14.26,0,5,5,3,4,4,2,3,4,4,4,,Level 1,,,17,1,32
969,2019,32,2017 Toyota Prius Prime,25,PHEV,Original,45,Male,69.4,50,5,4,4,5,5,3,5,4,2,5,"$50,000 to $99,999",No Charging,,,31,0,40
970,2019,22,2017 Chevrolet Bolt EV,238,BEV,Original,45,Male,3.53,0,3,3,3,4,3,2,4,4,2,3,"$250,000 to $299,999",Level 2,Level 2,Level 2 & DC Fast,16,1,40
971,2019,,2019 Volvo XC60 AWD PHEV,,PHEV,Original,,,,0,,,,,,,,,,,,Level 1,No charging,No charging,26,0,1
972,2019,34,2015 Ford C-Max Energi,20,PHEV,Continued,45,Male,11.23,0,4,5,4,2,4,4,2,1,5,5,"$200,000 to $249,999",Level 2,Level 2,Level 2,124,1,40
973,2019,21,2017 Tesla Model 3 Long Range,310,BEV,Original,55,Male,27.55,0,5,5,5,5,5,5,5,5,5,5,"$300,000 to $349,999",Level 2,No charging,No charging,130,0,40
974,2019,31,2014 BMW i3,81,PHEV,Discontinued,65,Female,,0,,,,,,,,,,,,Level 2,No charging,Level 2,17,1,16
975,2019,,2017 Toyota Mirai,300,,Original,75,Male,21.35,3,5,5,5,4,5,5,5,4,5,5,"$100,000 to $149,999",No Charging,,,,0,40
976,2019,,2017 Volkswagen e-Golf,84,BEV,Original,,,,0,,,,,,,,,,,,No Charging,Level 2,No charging,50,0,1
977,2019,35,2014 BMW i3,81,PHEV,Continued,55,Male,14.37,0,5,5,5,4,5,4,5,2,4,4,"$300,000 to $349,999",Level 2,Level 1,No charging,38,1,40
978,2019,34,2017 Tesla Model S (75 kW-hr battery pack),249,BEV,Original,65,Male,38.26,0,5,5,5,5,5,2,5,3,4,5,"$300,000 to $349,999",Level 2,No charging,No charging,24,0,40
979,2019,20,2018 Tesla Model S 75D,249,BEV,Original,,Male,2.89,0,5,5,5,4,5,2,2,4,5,4,I prefer not to answer,Level 2,No charging,No charging,42,0,40
980,2019,,2014 Ford Fusion Energi,20,PHEV,Discontinued,65,Male,,0,5,5,4,5,4,3,4,3,2,3,"$150,000 to $199,999",No Charging,,,,0,40
981,2019,,2012 Nissan Leaf,84,BEV,Continued,65,Male,,0,5,5,5,5,5,5,5,2,5,4,I prefer not to answer,No Charging,,,,0,40
982,2019,18,2018 Tesla Model 3 Long Range,310,BEV,Original,55,Male,3.04,4,,,,,,,,,,,,Level 2,No charging,DC Fast,105,0,25
983,2019,31,2015 Kia Soul EV,111,BEV,Continued,45,Male,1.82,0,5,4,4,4,5,3,1,4,4,5,"$150,000 to $199,999",Level 2,,,88,1,40
984,2019,20,2018 Nissan Leaf,84,BEV,Original,80,Male,8.8,0,5,5,5,5,5,5,5,2,4,4,"$50,000 to $99,999",Level 2,No charging,DC Fast,17,0,40
985,2019,23,2015 Nissan Leaf,84,BEV,Continued,55,Male,22.98,0,4,2,3,3,4,4,4,2,2,2,"$150,000 to $199,999",Level 1,No charging,Level 2,13,1,40
986,2019,36,2015 Ford Fusion Energi,20,PHEV,Continued,55,Male,25.28,0,3,5,4,3,5,4,4,2,3,5,"$100,000 to $149,999",Level 1,Level 2,No charging,23,1,40
987,2019,51,2015 Tesla Model S,271,BEV,Continued,65,Female,27.36,12,5,5,5,5,5,3,5,5,5,5,"$200,000 to $249,999",Level 2,No charging,No charging,,1,40
988,2019,36,2016 BMW i3,81,PHEV,Continued,55,Male,34.4,0,3,2,4,5,5,1,4,2,2,3,"$250,000 to $299,999",Level 1,Level 2,No charging,15,1,40
989,2019,,2011 Nissan Leaf,84,BEV,Discontinued,35,Male,,0,,,,,,,,,,,,No Charging,,,,0,17
990,2019,37,2017 Chevrolet Volt,53,PHEV,Original,55,Female,5.19,1,5,5,5,5,5,4,2,5,4,4,"$200,000 to $249,999",Level 1,No charging,No charging,34,0,40
991,2019,36,2016 Chevrolet Volt,53,PHEV,Continued,65,Male,10.48,0,5,5,5,5,5,4,2,4,5,4,"$250,000 to $299,999",Level 1,No charging,No charging,24,1,40
992,2019,5,2016 Tesla Model X,270,BEV,Continued,55,Male,19.12,0,4,2,5,5,3,2,2,2,4,4,"Less than $50,000",Level 2,No charging,DC Fast,,0,40
993,2019,81,2013 Tesla Model S,271,BEV,Original,,,,0,,,,,,,,,,,,Level 2,,DC Fast,46,0,10
994,2019,35,2016 Fiat 500e,87,BEV,Continued,45,Male,21,0,5,5,5,4,5,5,5,2,4,2,"$250,000 to $299,999",Level 1,Level 2,No charging,24,1,40
995,2019,29,2017 Nissan Leaf,84,BEV,Original,65,TransFemale/Transwoman,,0,5,5,5,5,5,4,5,2,1,4,"$100,000 to $149,999",Level 1,Level 2,DC Fast,48,0,40
997,2019,36,2015 Nissan Leaf,84,BEV,Continued,65,Male,6.88,0,4,4,5,4,5,3,5,3,4,4,"$250,000 to $299,999",Level 1,Level 2,No charging,95,1,40
998,2019,51,2015 Tesla Model S,271,BEV,Continued,65,Female,78.11,6,5,5,5,5,5,1,5,4,4,5,"$100,000 to $149,999",No Charging,No charging,DC Fast,,1,40
999,2019,43,2013 Chevrolet Volt,53,PHEV,Continued,45,Male,20.97,0,5,5,5,4,5,4,5,4,4,4,"$150,000 to $199,999",Level 1,,Level 2,26,1,40
1000,2019,30,2017 Chevrolet Bolt EV,238,BEV,Original,65,Male,24.32,5,5,3,5,5,5,4,4,4,4,3,I prefer not to answer,Level 2,No charging,Level 2,18,1,40
1001,2019,24,2017 Toyota Prius Prime,25,PHEV,Original,45,Female,53.12,6,5,4,5,5,4,5,5,2,1,1,"$100,000 to $149,999",Level 1,Level 2,No charging,24,0,40
1002,2019,36,2015 Nissan Leaf,84,BEV,Continued,55,Male,14.14,0,3,3,4,3,4,5,5,2,5,2,"$500,000 or more",Level 2,Level 2,No charging,24,1,40
1003,2019,37,2016 Nissan Leaf,84,BEV,Continued,75,Male,4.54,0,4,5,5,5,5,5,5,4,5,4,I prefer not to answer,Level 2,No charging,Level 2,24,1,40
1004,2019,42,2016 Nissan Leaf,84,BEV,Continued,45,Male,13.81,0,4,1,5,3,5,4,5,2,3,3,"$500,000 or more",Level 1,Level 2,No charging,46,1,40
